,Brand,Variant ID,Variant,Price,Availability,SKU,Brand + Variant ID
46,Heba Linens,47068001435939,effect-bath-robe,3245.0,True,672b95995a516,Heba Linens #47068001435939
47,Heba Linens,46871250960675,effect-slippers,395.0,False,672b959e6c198,Heba Linens #46871250960675
48,Heba Linens,46871251026211,effect-slippers,395.0,True,672b959da017d,Heba Linens #46871251026211
49,Heba Linens,46329345900835,effect-duvet-set,13995.0,False,672b959aa4c2e,Heba Linens #46329345900835
50,Heba Linens,46339610738979,effect-duvet-set,13995.0,False,672b9599ded1c,Heba Linens #46339610738979
51,Heba Linens,46336987463971,effect-bathmat-set,3995.0,True,672b95972def1,Heba Linens #46336987463971
52,Heba Linens,46339612377379,effect-bathmat-set,3995.0,True,672b9596703af,Heba Linens #46339612377379
53,Heba Linens,46329358319907,effect-sheet-set,10995.0,False,672b959d292ea,Heba Linens #46329358319907
54,Heba Linens,46339606446371,effect-sheet-set,10995.0,True,672b959c6d0fd,Heba Linens #46339606446371
55,Heba Linens,46881198375203,darawesh-kaftan,3495.0,True,672b959649f5a,Heba Linens #46881198375203
56,Heba Linens,46867849150755,croisse-bath-mat-set,4295.0,True,672b958a677f9,Heba Linens #46867849150755
57,Heba Linens,46867849183523,croisse-bath-mat-set,4295.0,True,672b958b292d6,Heba Linens #46867849183523
58,Heba Linens,47067720089891,effect-guest-towel-set,450.0,True,672b959b6665c,Heba Linens #47067720089891
59,Heba Linens,47067720122659,effect-guest-towel-set,450.0,False,672b959aa1102,Heba Linens #47067720122659
60,Heba Linens,45685095366947,esprit-bathmat-set-2pcs,2395.0,True,672b959f6f180,Heba Linens #45685095366947
61,Heba Linens,46336937394467,effect-towel-set,1995.0,True,672b959fa9cfc,Heba Linens #46336937394467
62,Heba Linens,46339606085923,effect-towel-set,1995.0,True,672b959ef2973,Heba Linens #46339606085923
63,Heba Linens,46636062179619,feather-bath-mat-set,2395.0,True,672b95cf40c02,Heba Linens #46636062179619
64,Heba Linens,45665169244451,esprit,5695.0,True,672b959f836c5,Heba Linens #45665169244451
65,Heba Linens,45666312814883,esprit-sheet-set-6pcs,4495.0,True,672b95a00dcda,Heba Linens #45666312814883
66,Heba Linens,45343690948899,farashat,6995.0,True,672b95ca7fb79,Heba Linens #45343690948899
67,Heba Linens,45343690981667,farashat,6995.0,True,672b95c9c29b2,Heba Linens #45343690981667
68,Heba Linens,46636111298851,feather-guest-set,480.0,False,672b95d20c168,Heba Linens #46636111298851
69,Heba Linens,47052809601315,esprit-guest-towel-set,480.0,True,672b95a0e113a,Heba Linens #47052809601315
70,Heba Linens,45686354379043,farashat-sheet-6pcs,5495.0,True,672b95ce0ae57,Heba Linens #45686354379043
71,Heba Linens,45686354411811,farashat-sheet-6pcs,5495.0,True,672b95cd26f79,Heba Linens #45686354411811
72,Heba Linens,47052814745891,farashat-guest-towel-set,480.0,True,672b95cb63556,Heba Linens #47052814745891
73,Heba Linens,47067664351523,farashat-guest-towel-set,480.0,True,672b95ca8f539,Heba Linens #47067664351523
74,Heba Linens,45686430630179,farashat-towels-set-3pcs,1795.0,False,672b95cedc178,Heba Linens #45686430630179
75,Heba Linens,45686430662947,farashat-towels-set-3pcs,1795.0,True,672b95ce287db,Heba Linens #45686430662947
76,Heba Linens,46635995726115,feather-duvet-set,6995.0,True,672b95cfea410,Heba Linens #46635995726115
77,Nillens,40607487262768,kaleidoscope-duvet-pillowcases,7500.0,False,250003147.0,Nillens #40607487262768
78,Nillens,40607487295536,kaleidoscope-duvet-pillowcases,7500.0,True,250003148.0,Nillens #40607487295536
79,Nillens,39747113484336,blue-paisley-duvet-pillowcases-600-tc,9200.0,False,250002407.0,Nillens #39747113484336
80,Nillens,39747113517104,blue-paisley-duvet-pillowcases-600-tc,9200.0,True,250002408.0,Nillens #39747113517104
81,Nillens,49782839902487,white-duvet-pillowcases-600-tc,9200.0,True,250002891.0,Nillens #49782839902487
82,Nillens,32273345773616,white-duvet-pillowcases-600-tc,9200.0,False,250002892.0,Nillens #32273345773616
83,Nillens,49657077498135,silver-florals-sheet-pillowcases-600-tc,6700.0,True,250005995.0,Nillens #49657077498135
84,Nillens,49657077530903,silver-florals-sheet-pillowcases-600-tc,6700.0,True,250005996.0,Nillens #49657077530903
85,Nillens,47453081075991,blue-waves-duvet-pillowcases,7500.0,False,250004532.0,Nillens #47453081075991
86,Nillens,47453081108759,blue-waves-duvet-pillowcases,7500.0,True,250004533.0,Nillens #47453081108759
87,Nillens,40140572917808,match-sticks-duvet-pillowcases,7500.0,False,250002768.0,Nillens #40140572917808
88,Nillens,40140572950576,match-sticks-duvet-pillowcases,7500.0,True,250002769.0,Nillens #40140572950576
89,Nillens,51756594397463,lilac-horus-duvet-pillowcases-600-tc,9200.0,False,250008102.0,Nillens #51756594397463
90,Nillens,51756594430231,lilac-horus-duvet-pillowcases-600-tc,9200.0,True,250008103.0,Nillens #51756594430231
91,Nillens,47452806381847,dark-grey-silver-border-duvet-pillowcases-600-tc,9200.0,True,250004568.0,Nillens #47452806381847
92,Nillens,47452806414615,dark-grey-silver-border-duvet-pillowcases-600-tc,9200.0,True,250004569.0,Nillens #47452806414615
93,Nillens,47453050536215,colored-pixels-duvet-pillowcases,7500.0,True,250004540.0,Nillens #47453050536215
94,Nillens,47453050568983,colored-pixels-duvet-pillowcases,7500.0,True,250004541.0,Nillens #47453050568983
95,Nillens,51604500545815,blue-aasha-sheet-pillowcases,6700.0,False,250008080.0,Nillens #51604500545815
96,Nillens,51604500578583,blue-aasha-sheet-pillowcases,6700.0,True,250008082.0,Nillens #51604500578583
97,Nillens,45357764870423,blue-robins-duvet-pillowcases,7500.0,True,250004004.0,Nillens #45357764870423
98,Nillens,45357764903191,blue-robins-duvet-pillowcases,7500.0,True,250004005.0,Nillens #45357764903191
99,Nillens,47645595173143,grey-squares-border-sheet-pillowcases-600-tc,6700.0,True,250004563.0,Nillens #47645595173143
100,Nillens,47645595205911,grey-squares-border-sheet-pillowcases-600-tc,6700.0,False,250004562.0,Nillens #47645595205911
